REFERENCE_CHILD/child_and_older_sibling_age_diff,Total,Nyangwena,Bundabund,Rufunsa
0,28 (100.0),6 (21.43),2 (7.14),20 (71.43)
.2,1 (100.0),1 (100.0),0 (0.0),0 (0.0)
.21,1 (100.0),1 (100.0),0 (0.0),0 (0.0)
.23,1 (100.0),0 (0.0),0 (0.0),1 (100.0)
.24,1 (100.0),0 (0.0),0 (0.0),1 (100.0)
.36,1 (100.0),1 (100.0),0 (0.0),0 (0.0)
.43,1 (100.0),1 (100.0),0 (0.0),0 (0.0)
.7,2 (100.0),0 (0.0),2 (100.0),0 (0.0)
1,2 (100.0),1 (50.0),0 (0.0),1 (50.0)
1.7,1 (100.0),0 (0.0),0 (0.0),1 (100.0)
2,4 (100.0),0 (0.0),0 (0.0),4 (100.0)
3,9 (100.0),5 (55.56),2 (22.22),2 (22.22)
4,7 (100.0),4 (57.14),2 (28.57),1 (14.29)
5,9 (100.0),1 (11.11),3 (33.33),5 (55.56)
6,9 (100.0),1 (11.11),3 (33.33),5 (55.56)
7,1 (100.0),0 (0.0),0 (0.0),1 (100.0)
8,1 (100.0),0 (0.0),0 (0.0),1 (100.0)
9,1 (100.0),0 (0.0),1 (100.0),0 (0.0)
11,2 (100.0),1 (50.0),0 (0.0),1 (50.0)
12,1 (100.0),1 (100.0),0 (0.0),0 (0.0)
13,2 (100.0),1 (50.0),1 (50.0),0 (0.0)
18,3 (100.0),1 (33.33),0 (0.0),2 (66.67)
52,1 (100.0),1 (100.0),0 (0.0),0 (0.0)
Total,89 (100.0),27 (30.34),16 (17.98),46 (51.69)
